전용면적(㎡),계약년월,거래금액(만원),건축년도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,거래유형,평수
84.93,202301,25000.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.691325000000003
84.99,202301,29800.0,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.709474999999998
84.99,202301,28500.0,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.709474999999998
59.86,202301,20000.0,2002.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.10765
59.84,202301,25000.0,2002.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1016
84.72,202301,18500.0,1991.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6278
60.43,202301,9000.0,1979.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.280075
39.3,202301,9200.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88825
59.97,202301,11000.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.140925
84.3,202301,21500.0,2008.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.50075
59.3,202301,11300.0,1984.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.93825
44.64,202301,14700.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5036
84.945,202301,17500.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.695862499999997
84.9955,202301,42000.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71113875
84.9955,202301,42000.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71113875
155.416,202301,70000.0,2007.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.01334
