,Name,Position,PS Score,Win Rate,Pick Rate,Ban Rate,total_played
1,리 신,정글,57.92,50.43%,32.03%,41.87%,"186,412"
2,블리츠크랭크,서폿,57.15,52.15%,15.27%,51.90%,"88,874"
3,쓰레쉬,서폿,56.08,51.28%,22.51%,7.05%,"131,008"
4,베이가,바텀,56.02,54.00%,7.84%,83.37%,"45,608"
5,자야,바텀,55.39,51.07%,20.21%,30.33%,"117,586"
6,라칸,서폿,55.29,52.33%,11.66%,3.89%,"67,826"
7,아우렐리온 솔,미드,55.24,50.49%,9.19%,40.88%,"53,473"
8,다리우스,탑,55.22,50.98%,7.13%,17.97%,"41,508"
9,애니비아,미드,55.15,52.89%,3.78%,7.03%,"22,022"
10,엘리스,정글,54.95,50.85%,6.28%,41.55%,"36,543"
11,유미,서폿,54.91,50.67%,12.93%,19.31%,"75,269"
12,자르반 4세,정글,54.83,51.21%,14.80%,13.29%,"86,096"
13,말파이트,탑,54.82,51.38%,9.80%,11.18%,"57,006"
14,애니,서폿,54.65,52.95%,5.74%,14.73%,"33,402"
15,징크스,바텀,54.51,51.47%,28.00%,5.16%,"162,917"
16,제이스,탑,54.51,49.48%,14.04%,18.41%,"81,716"
17,아크샨,미드,54.50,52.58%,4.35%,4.23%,"25,340"
18,니달리,정글,54.49,49.95%,11.53%,9.89%,"67,111"
19,파이크,서폿,54.45,51.11%,8.40%,12.16%,"48,883"
20,잭스,탑,54.42,49.77%,8.19%,12.48%,"47,687"
21,렝가,탑,54.37,53.15%,3.39%,5.46%,"19,719"
22,피오라,탑,54.34,50.15%,7.27%,15.49%,"42,285"
23,카시오페아,미드,54.21,52.94%,3.75%,4.79%,"21,802"
24,벡스,미드,54.10,51.44%,5.47%,6.60%,"31,807"
25,애니,미드,53.99,51.75%,3.78%,14.73%,"21,982"
26,제드,미드,53.95,49.27%,9.63%,36.78%,"56,040"
27,아리,미드,53.88,50.92%,8.86%,0.95%,"51,554"
28,올라프,탑,53.88,53.22%,3.25%,3.25%,"18,917"
29,노틸러스,서폿,53.86,50.53%,11.32%,10.06%,"65,881"
30,조이,미드,53.82,51.86%,3.70%,2.35%,"21,547"
31,카시오페아,탑,53.81,54.63%,1.17%,4.79%,"6,832"
32,럼블,미드,53.51,51.68%,3.39%,6.26%,"19,740"
33,카서스,정글,53.47,51.90%,3.49%,3.98%,"20,289"
34,뽀삐,탑,53.18,53.00%,2.27%,2.49%,"13,197"
35,베이가,미드,53.10,51.13%,2.39%,83.37%,"13,905"
36,카타리나,미드,53.00,50.12%,6.24%,3.60%,"36,285"
37,일라오이,탑,52.88,51.50%,4.50%,4.44%,"26,182"
38,럼블,탑,52.72,50.52%,5.03%,6.26%,"29,260"
39,판테온,미드,52.71,52.18%,3.23%,1.63%,"18,818"
40,오공,정글,52.56,50.72%,8.30%,3.64%,"48,310"
41,빅토르,미드,52.55,49.89%,8.82%,3.25%,"51,320"
42,제리,바텀,52.50,50.63%,12.40%,3.75%,"72,136"
43,이렐리아,탑,52.47,49.83%,4.78%,29.57%,"27,834"
44,신지드,미드,52.42,53.91%,0.96%,0.27%,"5,570"
45,탈론,미드,52.40,50.35%,4.95%,1.87%,"28,807"
46,그라가스,정글,52.39,50.02%,8.88%,6.32%,"51,699"
47,마오카이,탑,52.36,52.53%,1.99%,3.55%,"11,564"
48,샤코,정글,52.34,50.55%,4.48%,12.40%,"26,095"
49,누누와 윌럼프,정글,52.25,51.96%,3.43%,1.21%,"19,983"
50,킨드레드,정글,52.20,50.53%,4.68%,3.28%,"27,233"
51,제이스,미드,52.13,50.82%,2.14%,18.41%,"12,473"
52,키아나,미드,52.05,51.33%,2.66%,0.51%,"15,506"
53,스웨인,미드,52.00,53.10%,1.02%,0.30%,"5,961"
54,사일러스,미드,51.90,49.07%,8.40%,34.15%,"48,870"
55,이블린,정글,51.85,51.63%,2.67%,1.61%,"15,521"
56,하이머딩거,서폿,51.78,50.88%,2.70%,6.07%,"15,703"
57,리산드라,미드,51.74,50.97%,3.55%,0.48%,"20,681"
58,케인,정글,51.73,50.50%,6.42%,1.75%,"37,367"
59,말파이트,미드,51.72,52.63%,1.37%,11.18%,"7,990"
60,렐,서폿,51.70,52.35%,1.51%,0.20%,"8,760"
61,이렐리아,미드,51.66,48.82%,6.60%,29.57%,"38,408"
62,카이사,바텀,51.63,50.39%,20.51%,1.23%,"119,372"
63,야스오,미드,51.63,49.26%,6.49%,6.36%,"37,790"
64,렉사이,정글,51.60,51.23%,2.33%,2.26%,"13,567"
65,바이,정글,51.48,50.11%,7.11%,2.67%,"41,368"
66,마오카이,서폿,51.45,52.10%,1.81%,3.55%,"10,552"
67,사미라,바텀,51.43,50.04%,8.73%,21.31%,"50,802"
68,레오나,서폿,51.41,50.58%,4.73%,2.24%,"27,534"
69,클레드,탑,51.38,51.72%,2.82%,1.32%,"16,439"
70,르블랑,미드,51.30,47.57%,10.95%,24.25%,"63,698"
71,카밀,탑,51.22,50.76%,4.83%,1.21%,"28,126"
72,피들스틱,정글,51.20,51.68%,2.72%,1.43%,"15,833"
73,자크,미드,51.18,53.10%,0.68%,4.18%,"3,985"
74,사이온,탑,51.14,51.31%,3.74%,0.32%,"21,758"
75,쉔,탑,51.11,51.22%,3.24%,0.26%,"18,827"
76,시비르,바텀,51.09,51.61%,6.26%,1.15%,"36,457"
77,자크,탑,51.06,51.90%,1.76%,4.18%,"10,231"
78,퀸,탑,51.04,52.45%,1.47%,0.62%,"8,556"
79,아무무,서폿,51.00,51.00%,3.40%,2.23%,"19,791"
80,피즈,미드,50.96,50.56%,3.50%,1.29%,"20,348"
81,케넨,탑,50.95,49.82%,4.06%,1.60%,"23,597"
82,신지드,탑,50.87,52.14%,1.51%,0.27%,"8,758"
83,오리아나,미드,50.83,49.77%,3.92%,0.18%,"22,802"
